grid_id,response,dwelling_presence,surveyed_ratio,cell_area_m2,surveyed_area_m2,elev,slope_deg,relief_50m,eastness,tpi_100m,tpi_500m,rel_min_500m,valley_bottom_flag_v2,valley_edge_flag_v2,dist_valley_bottom_v2,pred_gam_terrain_only,pred_gam_terrain_penalized,final_score_nodata_only,final_score_class,final_score_class_id
1,NA,0,0,4204.913945545326,0,56.232078552246094,0.24672769686403176,1.2361717224121094,0,-0.9800558792917329,-7.810002084598864,0.03662109375,1,0,0,0.9999999999999998,0.19999999999999996,0.19999999999999996,Low,1
2,NA,0,0,38077.83184021199,0,57.17095947265625,0.4061883941209983,0.6900749206542969,0,-0.052626089929241004,-6.930575168905293,0.97550201416015625,1,0,0,0.9999999999999998,0.19999999999999996,0.19999999999999996,Low,1
3,NA,0,0,81411.80611236705,0,57.67879867553711,0.27111711023241225,0.478302001953125,0,-0.04684282984544552,-5.63579435106238,1.4833412170410156,1,0,0,0.9999999999999998,0.19999999999999996,0.19999999999999996,Low,1
4,NA,0,0,95778.59542631515,0,58.9884147644043,0.4248079285682707,0.76125335693359375,0,-0.09189094791343422,-2.9273801657597645,2.5685691833496094,0,0,32.42265319824219,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
5,NA,0,9.942923448467429e-4,279393.1710484616,277.798491175942,60.049407958984375,0.3098669640277775,0.2999992370605469,0,-8.059752977302992e-4,-2.94257778748009,1.4386444091796875,0,0,21.615102767944336,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
6,NA,0,0.011621778311795996,182212.9376403036,2117.6383667967166,60.5,1.2722218725854067e-14,0,0,-0.015936607057867036,0.3661834477111583,2.4000015258789062,0,0,314.1634521484375,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
7,NA,0,0.048725440420514195,89471.22450799553,4359.524819114786,61.74885940551758,0.8176247530091632,2.6773948669433594,0,-1.0194518437024058,-3.541118240909384,1.9796791076660156,1,0,0,0.9999999999999998,0.19999999999999996,0.19999999999999996,Low,1
8,NA,0,0.06824893088307989,74870.82886374468,5109.854024280614,62.911380767822266,17.38631068430523,14.31219482421875,0.06219470434570121,-1.3476954849188019,-2.496127775944501,5.911380767822266,0,1,21.615102767944336,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
9,NA,0,0.06020652361859861,65409.77248626866,3938.0950120816956,63.86460494995117,7.922533500709506,10.502021789550781,0.06513247746293048,-1.3261930004353957,-1.5308993829699773,7.669147491455078,0,1,89.12134552001953,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
10,NA,0,0.07969368064005801,74286.8130379378,5920.189554013113,65.03007507324219,2.472446161778184,4.056484222412109,0.4961486233211077,-0.1430735536430774,-1.6252162386510491,4.8924713134765625,0,0,48.33283996582031,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
