grid_id,cell_area,surveyed_area,surveyed_ratio,surveyed_any,surveyed_for_absence,dwelling_area,dwelling_count_pt,dwelling_presence,response,elev,slope_deg,relief_50m,eastness,tpi_50m,tpi_100m,tpi_250m,tpi_500m,rel_min_250m,rel_min_500m,valley_bottom_flag_v1,valley_edge_flag_v1,dist_valley_bottom_v1,valley_bottom_flag_v2,valley_edge_flag_v2,dist_valley_bottom_v2,model_weight,pred_glm_final,pred_gam_final
24,100,9.801274508690767,0.09801274508690767,TRUE,TRUE,0,0,FALSE,0,67.406036376953125,1.194552393396566,1.7965850830078125,0.9061217233150095,0.037315921507016014,0.18631722350413327,0.03125982086453405,-0.561345767847456,2.406036376953125,3.5885467529296875,0,0,111.27055358886719,0,0,639.4747314453125,0.09801274508690767,0.027307137251720088,0.0013939444053677925
25,100,1.3530185743857146,0.013530185743857146,TRUE,TRUE,0,0,FALSE,0,67.20619201660156,1.1636941635486797,1.8557662963867188,0.85706333171486,-0.025446573893233904,0.09329468764983062,-0.07559674090377655,-0.6817453341082711,2.2061920166015625,3.4127464294433594,0,0,101.9582290649414,0,0,630.18310546875,0.013530185743857146,0.030463312097483507,0.0029244331901044683
26,100,72.38337241185945,0.7238337241185946,TRUE,TRUE,0,0,FALSE,0,67.20619201660156,1.1636941635486797,1.8557662963867188,0.85706333171486,-0.025446573893233904,0.09329468764983062,-0.07559674090377655,-0.6817453341082711,2.2061920166015625,3.4127464294433594,0,0,101.9582290649414,0,0,630.18310546875,0.7238337241185946,0.030463312097483507,0.0029244331901044683
27,84.748992384018493,65.774537631165,0.7761099663949328,TRUE,TRUE,0,0,FALSE,0,67.04601287841797,1.1369390221688056,1.9572219848632812,0.8052828693060143,-0.02758269379104661,0.05113187163314592,-0.1452644868844999,-0.7608423424135111,2.0460128784179688,3.3050384521484375,0,0,92.9700698852539,0,0,620.94061279296875,0.7761099663949328,0.03381402004013354,0.004730957315180174
28,0.5832811422369559,0.5832811422369559,1,TRUE,TRUE,0,0,FALSE,0,66.868499755859375,1.1930902726760235,1.9381332397460938,0.8181324375722011,-0.02922257133151618,6.618017754362882e-4,-0.2341265669916055,-0.8555322946914004,1.868499755859375,3.166851043701172,0,0,84.40967559814453,0,0,611.7493896484375,1,0.03413999192203962,0.007200028740118907
46,100,92.0081713347463,0.9200817133474629,TRUE,TRUE,0,0,FALSE,0,67.33402252197266,1.187485168430765,1.8226394653320312,0.7995522813201487,-0.016603663347765973,0.09238488923772081,-0.08147979192987975,-0.6689810733758321,2.3340225219726562,3.492401123046875,0,0,108.07551574707031,0,0,624.69140625,0.9200817133474629,0.03021630036094249,0.005480554849303947
47,100,100,1,TRUE,TRUE,0,0,FALSE,0,67.18096923828125,1.1407560951425495,1.9061508178710938,0.7851764695449873,-0.009142557779952654,0.05973488156976714,-0.1355631118004652,-0.7394686746052344,2.18096923828125,3.387523651123047,0,0,99.64070129394531,0,0,615.366455078125,1,0.033187481241676905,0.008026633737319183
48,40.02717024975573,40.02717024978483,1,TRUE,TRUE,0,0,FALSE,0,66.992431640625,1.2094956542916986,1.9678955078125,0.8068483067417702,-0.02115631103515625,0.0024412685352928065,-0.22759248184520686,-0.8436045171741284,1.992431640625,3.226787567138672,0,0,91.705108642578125,0,0,606.0906982421875,1,0.03468564710925018,0.011427492244427552
51,100,6.4780862204038385,0.06478086220403839,TRUE,TRUE,0,0,FALSE,0,65.6846923828125,1.113968679183637,1.47955322265625,0.781585526592167,-0.07276020879331213,-0.31791356496432854,-0.865843422547286,-1.4187197804858016,0.724761962890625,2.282543182373047,0,0,15.284185409545898,0,0,533.96307373046875,0.06478086220403839,0.03185647678037044,0.0060754973314286
67,100,4.913358110934496,0.04913358110934496,TRUE,TRUE,0,0,FALSE,0,67.47615051269531,1.1647489877864898,1.8474655151367188,0.8109281900676875,0.006419859070703637,0.10431409484642984,-0.07311015143238819,-0.6426900852605968,2.4761505126953125,3.588634490966797,0,0,114.88584899902344,0,0,619.33966064453125,0.04913358110934496,0.03011935011892918,0.008179754096498352
