group,parameter,value,meaning
basic,grid_cell_size_m,10,解析グリッド解像度
basic,surveyed_ratio_min_for_absence,0.25,absenceセル判定に必要な最小調査済み面積比
cluster,small_cluster_max_n,3,小規模・孤立集石候補とする最大集石点数
cluster,dense_cluster_min_n,8,密集集石cluster候補とする最小集石点数
source_strength,source_density_radius_m,40,presence自己相関・局所密度の評価半径
source_strength,source_strength_power,1.5,source strengthの非線形強調
source_strength,source_range_bonus,0.5,source strengthによる到達距離の増分
source_strength,source_min_strength,0.05,伝播source strengthの下限
opening,opening_neighbor_radius_m,15,no_dataに接するsource境界の判定半径
distance_decay,base_range_min_m,80,positive値の最小基本到達距離
distance_decay,base_range_adj_multiplier,3,selected_d_adj_mに対する到達距離倍率
distance_decay,decay_power,2,距離減衰曲線の指数
absence_barrier,absence_evidence_radius_m,50,absence evidenceの局所評価半径
absence_barrier,absence_continuity_radius_m,80,absence領域の広さ・連続性評価半径
absence_barrier,absence_shadow_radius_m,60,external absence周辺no_dataに与えるshadow幅
absence_barrier,internal_absence_buffer_m,10,macro cluster内部absence判定の許容幅
absence_barrier,absence_evidence_weight,0.45,barrier strengthにおけるabsence evidence重み
absence_barrier,absence_continuity_weight,0.3,barrier strengthにおけるabsence連続性重み
absence_barrier,absence_shadow_weight,0.25,barrier strengthにおけるabsence shadow重み
absence_barrier,internal_absence_barrier_strength,0.15,internal macro absenceに与える弱barrier
absence_barrier,external_absence_hard_barrier,TRUE,external absenceを通過不可とするか
absence_barrier,barrier_strength_power,1.5,absence遮断の非線形強調
absence_barrier,barrier_cost_multiplier,18,barrier strengthを累積コストへ変換する倍率
source_barrier_comparison,barrier_vs_source_scale,1,source strengthによるbarrier緩和尺度
source_barrier_comparison,min_range_modifier,0.1,source strengthが低い場合の最小到達距離比
modern_disturbance,artificial_landform_layer,gsi_landform_artificial,人工改変地を取得するGPKGレイヤ
modern_disturbance,artificial_landform_code,11001,人工改変地として扱うGSI人工地形分類code
modern_disturbance,artificial_modified_min_cell_ratio,0.05,人工改変地セル判定の最小面積比
modern_disturbance,artificial_modified_cost_multiplier,3,人工改変地通過時の追加cost倍率
shuseki_component_diagnostic,dense_cell_count_min,2,dense判定に使う10mセル内最小集石数
shuseki_component_diagnostic,dense_mean_cell_count_min,1.5,dense判定に使うgroup内平均セル内集石数
shuseki_component_diagnostic,dispersed_cell_count_max,1,dispersed候補とする10mセル内最大集石数
shuseki_component_diagnostic,dispersed_node_min_distance_m,20,dispersedノード連鎖の最小距離
shuseki_component_diagnostic,dispersed_node_max_distance_m,45,dispersedノード連鎖の最大距離
shuseki_component_diagnostic,dispersed_node_preferred_distance_m,30,dispersedノード連鎖の期待距離
shuseki_component_diagnostic,dispersed_node_min_degree,1,dispersed候補ノードの最小連結数
shuseki_component_diagnostic,dispersed_node_direction_bin_deg,22.5,dispersed方向性評価の方位bin幅
shuseki_component_diagnostic,dense_validation_radius_m,30,dense検証スコアの局所評価半径
shuseki_component_diagnostic,dispersed_validation_radius_m,60,dispersed検証スコアの広域評価半径
shuseki_component_diagnostic,dense_absence_radius_m,30,dense absence検証半径
shuseki_component_diagnostic,dispersed_absence_radius_m,60,dispersed absence検証半径
shuseki_component_diagnostic,dispersed_absence_weight,0.35,dispersed検証スコアに対するabsence抑制係数
shuseki_component_diagnostic,dense_validation_score_cap,1,dense検証スコア上限
shuseki_component_diagnostic,dispersed_validation_score_cap,0.45,dispersed検証スコア上限
propagation,max_normalized_cost,1,この値を超える伝播を停止する正規化コスト
propagation,directional_neighbor_mode,queen_8,伝播近傍設定
propagation,monotonic_decay_enforce,TRUE,累積コストにより外周再上昇を防ぐ
runtime,selected_d_adj_safe_m,26.7158802767616,DBSCAN候補から求めた代表的隣接距離
runtime,base_range_m,80.1476408302847,selected_d_adj_safe_mとbase_range_min_mから計算した基本到達距離
runtime,dense_component_base_range_m,60.1107306227135,dense component diagnostic用の基本到達距離
runtime,dispersed_component_base_range_m,100.184551037856,dispersed component diagnostic用の基本到達距離
runtime,dispersed_context_radius_m,106.863521107046,dispersed component判定に用いるmicro group近傍半径
